head,display,variable,Df,variance,variance_pct,F_stat,p_value
clip_l,CLIP-L,school,1,0.02656396473136713,0.5519153319168812,2.8488887304135577,0.042
clip_l,CLIP-L,gender,2,0.07133938342687074,1.4822071886089518,3.825444874941377,0.003
clip_l,CLIP-L,professor_class,28,0.4693335176482236,9.751268938656114,1.797654108212853,0.001
clip_l,CLIP-L,continent,3,0.11670879430963366,2.4248403278807324,4.172198091301981,0.001
clip_b32,CLIP-B32,school,1,0.026726537110699944,0.7685004530456576,3.8835315480943944,0.023
clip_b32,CLIP-B32,gender,2,0.06332358541211924,1.8208196548667863,4.600654784939601,0.002
clip_b32,CLIP-B32,professor_class,28,0.3577775214922543,10.28760988441982,1.8566890039973585,0.001
clip_b32,CLIP-B32,continent,3,0.042908992035035176,1.2338141556488926,2.078314193552054,0.02
openclip_l,OpenCLIP-L,school,1,0.07794525262634266,0.5759320671889258,2.945165551004497,0.023
openclip_l,OpenCLIP-L,gender,2,0.20565814687156347,1.519593787575372,3.885402054908783,0.002
openclip_l,OpenCLIP-L,professor_class,28,1.417222741789633,10.47176057352602,1.9124941896389482,0.001
openclip_l,OpenCLIP-L,continent,3,0.2310594949017517,1.7072825869246147,2.9101984691716436,0.001
dinov2_cls,DINOv2-CLS,school,1,0.195698675921971,0.6009313866994717,2.957355768023317,0.024
dinov2_cls,DINOv2-CLS,gender,2,0.4476659946622483,1.374646740368573,3.382515505598424,0.002
dinov2_cls,DINOv2-CLS,professor_class,28,3.427906128186123,10.526061933642524,1.850063243671129,0.001
dinov2_cls,DINOv2-CLS,continent,3,0.1842967246473961,0.5659194462342124,0.9283506545561176,0.541
dinov2_l12,DINOv2-L12,school,1,0.13431377205105655,1.0053164364487361,4.991869355636835,0.017
dinov2_l12,DINOv2-L12,gender,2,0.260523025641449,1.9499718885949047,4.841264184148526,0.006
dinov2_l12,DINOv2-L12,professor_class,28,1.2054244306979243,9.022403098148647,1.6000170943670158,0.015
dinov2_l12,DINOv2-L12,continent,3,0.28585693961186287,2.139592057287315,3.5413605895955294,0.006
dinov2_style,DINOv2-Style,school,1,0.15988034701550724,0.987102835685607,4.958934602629165,0.013
dinov2_style,DINOv2-Style,gender,2,0.33961676810692154,2.096797268098298,5.266867924783617,0.002
dinov2_style,DINOv2-Style,professor_class,28,1.5384599834829729,9.498467076366675,1.704203574125262,0.005
dinov2_style,DINOv2-Style,continent,3,0.3398761492961455,2.09839869011286,3.513926985221305,0.007
dinov2_gram,DINOv2-Gram,school,1,0.007425762828653704,0.6120381933770968,3.02198761070633,0.121
dinov2_gram,DINOv2-Gram,gender,2,0.0215159001556936,1.7733602545666243,4.378054161170185,0.025
dinov2_gram,DINOv2-Gram,professor_class,28,0.11562744984649853,9.530120627577626,1.680561930887063,0.035
dinov2_gram,DINOv2-Gram,continent,3,0.03375024337549026,2.781726060771243,4.5783317571763575,0.012
csd_content,CSD-Content,school,1,0.04282071961339362,0.4141746219981936,2.1220563717971417,0.071
csd_content,CSD-Content,gender,2,0.11682841751735928,1.1299988907417764,2.894819260839148,0.006
csd_content,CSD-Content,professor_class,28,1.060766918647099,10.260050310350964,1.8774349185476844,0.001
csd_content,CSD-Content,continent,3,0.23671698436762334,2.289596447845466,3.910309382351746,0.001
csd_style,CSD-Style,school,1,0.16768570937933447,0.2592369153880518,1.3273710385883342,0.257
csd_style,CSD-Style,gender,2,0.784937490317489,1.2134890594762995,3.106714625850072,0.001
csd_style,CSD-Style,professor_class,28,6.628579828690782,10.24757920369946,1.873953217970715,0.001
csd_style,CSD-Style,continent,3,1.6431068329685203,2.540192295505681,4.335516388489971,0.001
scflow_content,SCFlow-Content,school,1,0.015220891235291578,0.5790780406730403,2.8312996339642655,0.061
scflow_content,SCFlow-Content,gender,2,0.04006608008271906,1.524311999415297,3.7264269259595797,0.002
scflow_content,SCFlow-Content,professor_class,28,0.218839848806069,8.325751029215287,1.45383166897611,0.003
scflow_content,SCFlow-Content,continent,3,0.04148462503790462,1.5782804708114297,2.5722410483784905,0.004
