head,display,graph,mantel_r,mantel_p,spearman_rho
clip_l,CLIP-L,GU,0.10533359815584004,0.0152,0.05079132916453414
clip_l,CLIP-L,GY,0.02035449734263175,0.5615,0.026566343068171842
clip_l,CLIP-L,VGG,0.6380661949950626,0.0001,0.6213115459593632
clip_b32,CLIP-B32,GU,0.08881465712638598,0.0348,0.03977543666961419
clip_b32,CLIP-B32,GY,-0.0030863666505659025,0.9285,0.003148281227976533
clip_b32,CLIP-B32,VGG,0.6460960504296505,0.0001,0.6429396004674252
openclip_l,OpenCLIP-L,GU,0.09595053684242276,0.0198,0.05010023831275589
openclip_l,OpenCLIP-L,GY,-0.005697840161566122,0.863,-0.0033194728680830577
openclip_l,OpenCLIP-L,VGG,0.663873321016497,0.0001,0.6515738298097752
dinov2_cls,DINOv2-CLS,GU,0.060911262450028085,0.1266,0.025598708963914325
dinov2_cls,DINOv2-CLS,GY,-0.027976665579881356,0.4015,-0.026823877297491257
dinov2_cls,DINOv2-CLS,VGG,0.6199154118774676,0.0001,0.5822928491164321
dinov2_l12,DINOv2-L12,GU,0.03698422014774587,0.3059,0.035861736572705576
dinov2_l12,DINOv2-L12,GY,-0.018907942511869204,0.5423,-0.03239537568979729
dinov2_l12,DINOv2-L12,VGG,0.5221784002620364,0.0001,0.5268409775622815
dinov2_style,DINOv2-Style,GU,0.03066728245783398,0.3918,0.029140217438335374
dinov2_style,DINOv2-Style,GY,-0.029892967854096706,0.3137,-0.041521230160733794
dinov2_style,DINOv2-Style,VGG,0.519005787971332,0.0001,0.5213379482535067
dinov2_gram,DINOv2-Gram,GU,-0.004731808983580368,0.8899,0.007779424641493479
dinov2_gram,DINOv2-Gram,GY,0.0005795881764568394,0.9851,-0.006757838116418929
dinov2_gram,DINOv2-Gram,VGG,0.418205408341998,0.0001,0.43643113264820527
csd_content,CSD-Content,GU,0.07989720448636424,0.0352,0.048319599473638106
csd_content,CSD-Content,GY,0.02535637541875431,0.4288,0.014627489643074932
csd_content,CSD-Content,VGG,0.6282049294315744,0.0001,0.6043097198538084
csd_style,CSD-Style,GU,0.04246553040750868,0.2067,0.02377003061587851
csd_style,CSD-Style,GY,0.04891029614934878,0.0791,0.037663503062974654
csd_style,CSD-Style,VGG,0.5803660767262198,0.0001,0.5614207789310927
scflow_content,SCFlow-Content,GU,0.10469491336564737,0.0145,0.058905702534107277
scflow_content,SCFlow-Content,GY,0.0028545123708587227,0.937,0.004772737803480541
scflow_content,SCFlow-Content,VGG,0.6431046382062234,0.0001,0.6033477535935
scflow_style,SCFlow-Style,GU,0.1053579141536416,0.015,0.032014187320709986
scflow_style,SCFlow-Style,GY,-0.024272271668580182,0.4903,-0.024435573355157968
scflow_style,SCFlow-Style,VGG,0.6468680949279275,0.0001,0.6084322626496059
goya_content,GOYA-Content,GU,-0.06605517248143682,0.0949,-0.04844705967732345
goya_content,GOYA-Content,GY,-0.021759504073711168,0.5064,-0.06305461105475917
goya_content,GOYA-Content,VGG,0.21232616365568466,0.0001,0.2636068364389781
goya_style,GOYA-Style,GU,0.01994155264613225,0.6002,0.0034187221256416897
goya_style,GOYA-Style,GY,-0.051996377203187887,0.0938,-0.06362090873603167
goya_style,GOYA-Style,VGG,0.5694277087552597,0.0001,0.550984922528536
kim_c,KIM-C,GU,0.089315620836938,0.0285,0.057513847561703656
kim_c,KIM-C,GY,-0.008139542392176855,0.8068,-0.008081321632334335
kim_c,KIM-C,VGG,0.6672846671165332,0.0001,0.6520494653030131
kim_a,KIM-A,GU,0.011098735041914404,0.7185,0.000502277345130891
kim_a,KIM-A,GY,0.03851482375043413,0.1382,0.027138220339202913
kim_a,KIM-A,VGG,0.28164884191458156,0.0001,0.2950714652356252
sscd,SSCD,GU,0.03742839786172488,0.2833,0.02269467397992719
sscd,SSCD,GY,0.003173321037095746,0.9127,-0.005371959528591566
sscd,SSCD,VGG,0.5824772230846765,0.0001,0.5849251581283338
_vgg_2020,VGG-2020,GU,0.04209855989175313,0.2498,-0.004497433024820352
_vgg_2020,VGG-2020,GY,-0.03649916933639202,0.2231,-0.02865666934373302
