head,display,school_only,professor_only,shared,residual
clip_l,CLIP-L,0.0038241920186623535,0.060214514900821636,0.051158763152540754,0.8848025299279753
clip_b32,CLIP-B32,0.006615881741691809,0.04891858925164261,0.05093950481479703,0.8935260241918686
openclip_l,OpenCLIP-L,0.004456142658652684,0.05645565880862735,0.05394374485643638,0.8851444536762836
dinov2_cls,DINOv2-CLS,0.004227580961417843,0.04136830495022259,0.05009154230556512,0.9043125717827944
dinov2_l12,DINOv2-L12,0.010107557486696117,0.03967465910103196,0.03097195010591436,0.9192458333063576
dinov2_style,DINOv2-Style,0.009952021362088947,0.04373491591283052,0.036242668786321985,0.9100703939387585
dinov2_gram,DINOv2-Gram,0.005957450492282912,0.027789082196941983,0.03780610569247933,0.9284473616182958
csd_content,CSD-Content,0.0023834626369338974,0.056453001905010236,0.05525614717799421,0.8859073882800617
csd_style,CSD-Style,6.152867801422213e-4,0.05512644382759213,0.05432723547337115,0.8899310339188945
scflow_content,SCFlow-Content,0.004050953163598381,0.042297392490887376,0.03079225119459683,0.9228594031509174
scflow_style,SCFlow-Style,9.589322029079916e-4,0.04273822014836892,0.04299488438931165,0.9133079632594114
goya_content,GOYA-Content,0.0010731607567640022,0.013411258899736045,0.0021240932705964832,0.9833914870729035
goya_style,GOYA-Style,0.007173216104909175,0.0618934321893283,0.07164341036692834,0.8592899413388342
kim_c,KIM-C,0.0029030569046130106,0.05775457882878232,0.05569358881860642,0.8836487754479982
kim_a,KIM-A,0.001110917861248839,0.028577594940870532,0.013277059810720582,0.95703442738716
sscd,SSCD,1.40117770466075e-4,0.02210744540829468,0.015383597430541851,0.9623688393906974
